id,classification,subClassification,length,width,thickness,diameter,weight,quantity,broadperiod,fromdate,todate,district
519670,,,50.2,28.7,7.6,,8.99,1,NEOLITHIC,-2500,-1500,East Lindsey
521742,,,35.2,18.9,7.7,,4.27,1,NEOLITHIC,-2500,-1500,Barnet
56631,,,53.4,26.3,7.71,,12.7,1,NEOLITHIC,-3500,-2900,Richmondshire
460767,Tanged,Jessop type T3,42.14,11.25,7.79,,5.3,1,MEDIEVAL,1100,1200,Cheshire West and Chester
462272,,,27.8,26.5,7.9,,5.95,1,NEOLITHIC,-2500,-1500,Cornwall
398607,,,52.05,13.8,7.95,,6.76,1,MEDIEVAL,,,Vale of White Horse
813238,,,32,38,8,,8.53,1,NEOLITHIC,-3000,-2200,Cornwall
189025,,,35,28,8,,,1,BRONZE AGE,-2150,-800,Northampton
56673,,,35.5,16.5,8,,4.86,1,MEDIEVAL,1400,1499,Isle of Wight
42831,,,40,22,8,,,1,NEOLITHIC,-4000,-2200,Shepway
732290,,,46,11,8,,5.18,1,MEDIEVAL,1200,1500,South Kesteven
419674,,,47.4,12.8,8,,6,1,ROMAN,200,410,Test Valley
609505,,,48,14,8,,7.15,1,MEDIEVAL,1000,1400,Cotswold
486434,,,40.96,32.57,8.05,,8.96,1,NEOLITHIC,-2500,-1500,Harrogate
218838,,,42.8,27.8,8.1,,8.08,1,NEOLITHIC,-3500,-2900,Leeds
771478,,,56.3,36.8,8.1,,17.39,1,NEOLITHIC,-4000,-1600,St. Albans
206045,Barbed and tanged,,27.21,25.7,8.16,,3.87,1,NEOLITHIC,-2500,-2100,Bedford
268343,,,33.53,24.95,8.27,,8.1,1,NEOLITHIC,-3500,-2900,Selby
791394,,,30.72,22.12,8.3,,1.55,1,NEOLITHIC,-3000,-2000,Mole Valley
230959,,,31.33,19.92,8.33,,4.7,1,NEOLITHIC,,,County Durham
569506,Laurel Leaf,,33.96,26.91,8.41,,8.9,1,UNKNOWN,-3800,-3000,Richmondshire
179662,,,30.8,22.1,8.5,,6.21,1,NEOLITHIC,-3500,-800,Wiltshire
656209,,,49,25,8.5,,,1,NEOLITHIC,-12000,-2351,North Norfolk
92928,,,53.5,34.5,8.5,,18.17,1,NEOLITHIC,-4500,-2000,Wiltshire
730756,,,60,20,8.5,,,1,MEDIEVAL,1200,1300,North Norfolk
130181,,,25.8,25.5,8.7,,4.24,1,NEOLITHIC,-2500,-2100,West Lindsey
454250,,,40.53,32.17,8.72,,9.35,1,NEOLITHIC,-2500,-1500,Cornwall
27235,,,62.45,18.78,8.84,,,1,MEDIEVAL,1066,1540,Stratford-on-Avon
270399,,,44.45,14.5,8.86,,8.51,1,MEDIEVAL,1400,1500,Southwark
71782,,,48.12,24.02,8.86,,9.84,1,NEOLITHIC,-2200,-750,South Cambridgeshire
838739,,,69.1,14.43,8.89,,11.44,1,MEDIEVAL,1250,1500,Braintree
568655,,,40.06,14.58,8.92,,14.7,1,MEDIEVAL,1200,1500,Northumberland
159320,,,44.07,28.51,8.92,,,1,BRONZE AGE,-2150,-1500,
437422,,,35.63,36.34,8.95,,12.48,1,NEOLITHIC,-6000,-2000,Guildford
444362,,,30,24,9,,,1,MEDIEVAL,1400,1700,East Lindsey
481467,,,38,25,9,,6.45,1,NEOLITHIC,-4500,-2100,Cornwall
36120,,,60,50,9,,,1,NEOLITHIC,-2500,-1800,North Norfolk
738332,,,60,13,9,,9.13,1,MEDIEVAL,1200,1500,Cotswold
478804,,,61,11,9,,13.04,1,MEDIEVAL,1200,1500,
140824,,,68,17,9,,14.46,1,MEDIEVAL,1200,1500,Stroud
68120,,,72,19.5,9,,14.8,1,MEDIEVAL,1000,1500,Staffordshire Moorlands
180226,,,85,37,9,,18,1,BRONZE AGE,-2150,-1500,Suffolk Coastal
117664,broadhead,,86,30,9,,,1,MEDIEVAL,1250,,South Northamptonshire
777238,,,43.3,27.6,9.1,,6.8,1,NEOLITHIC,-2700,-2350,West Oxfordshire
782690,,,37,27.4,9.3,,10.02,1,NEOLITHIC,-4000,-2351,Isle of Wight
215407,,,57,18.2,9.3,,10.97,1,MEDIEVAL,1066,1500,Selby
411904,Spearpoint,,56.42,15.59,9.36,,6.3,1,MEDIEVAL,1100,1500,Dudley
495062,,,31.2,13.9,9.4,,7.27,1,UNKNOWN,-1150,1500,Milton Keynes
156041,,,52.9,17.2,9.4,,8.2,1,MEDIEVAL,1066,1500,Leeds
440608,,,48.24,12.8,9.55,,11.83,1,UNKNOWN,-2150,1950,Leeds
708356,,,68.86,16.47,9.58,,10.62,1,MEDIEVAL,1200,1400,Forest Heath
213102,,,32.8,17.6,9.8,,4.4,1,NEOLITHIC,-2500,-2100,Rotherham
421313,,,41.75,,9.8,,5.6,1,MEDIEVAL,1200,1700,South Kesteven
791390,,,36.08,22.27,9.85,,3.45,1,NEOLITHIC,-2500,-2000,Mole Valley
210337,,,58.9,38.9,9.9,,23.93,1,NEOLITHIC,-3500,-2100,Isle of Wight
189235,Leaf-shaped,,29.51,21.3,9.94,,5.3,1,NEOLITHIC,-3500,-1150,Malvern Hills
466962,Oblique,,26,18,10,,1.31,1,NEOLITHIC,-3300,-2100,Cornwall
410395,chert,,30,15,10,,4.71,1,NEOLITHIC,-6500,-2900,Pendle
402776,,,38,18,10,,5.76,1,MEDIEVAL,1200,1500,South Gloucestershire
740095,,,38,15,10,,6.57,1,MEDIEVAL,1300,1500,Cotswold
199891,,,44.6,23.5,10,,9.5,1,MEDIEVAL,1225,1500,Wiltshire
522793,,,55.5,7.5,10,,11.33,1,BRONZE AGE,-1300,-800,Braintree
37120,,,64,12,10,,13.58,1,BRONZE AGE,-2500,-700,South Cambridgeshire
215022,,,35.8,12.2,10.2,,4.61,1,MEDIEVAL,1066,1500,Doncaster
391989,,,52.57,24.31,10.26,,12,1,NEOLITHIC,-3500,-2100,East Lindsey
417980,,,37.99,10.3,10.3,,7.7,1,BRONZE AGE,-2150,-800,Shropshire
75506,,,51.4,15.8,10.3,,16.05,1,BRONZE AGE,-1800,-700,Lichfield
216852,,,75.4,17.1,10.5,,21.19,1,MEDIEVAL,1066,1500,Doncaster
138748,,,61.33,33.09,10.77,,,1,BRONZE AGE,-2100,-1800,
246140,,,88.25,,10.9,,15.29,1,MEDIEVAL,1250,1350,Winchester
544681,,,37.39,14.65,11,,6.65,1,MEDIEVAL,1300,1500,Tower Hamlets
417986,,,52.95,11,11,,15,1,BRONZE AGE,-2150,-800,Birmingham
36184,,,66,22,11,,21.24,1,BRONZE AGE,-1000,-700,Suffolk Coastal
757142,,,60.3,31.5,11.2,,19.64,1,BRONZE AGE,-2350,-801,Isle of Wight
737754,,,53.17,14.17,11.41,,13.58,1,MEDIEVAL,1241,1263,Southwark
589975,Jessop Type M1,,47.5,16.9,11.5,,11.3,1,MEDIEVAL,1350,1499,Arun
246233,,,41,12.69,11.59,,5.6,1,MEDIEVAL,1300,1500,Wycombe
235696,,,92.5,57.9,11.6,,36.59,1,MEDIEVAL,1200,1300,Lewes
630110,,,96.38,19.31,11.98,,12.9,1,POST MEDIEVAL,,,Isle of Anglesey
181248,,,68,30,12,,15.91,1,MEDIEVAL,1200,1400,Tewkesbury
