id,classification,subClassification,length,width,thickness,diameter,weight,quantity,broadperiod,fromdate,todate,district
450285,,,,,,,,1,NEOLITHIC,-3500,-1500,Stroud
486383,leaf shaped,,,,,,,2,NEOLITHIC,-3500,-1500,Harrogate
510034,,,,,,,,1,NEOLITHIC,-2800,-2300,Ryedale
22677,Barbed and tanged arrowhead,,,,,,,1,BRONZE AGE,-2700,-700,South Somerset
509004,Transverse arrowhead,,,,,,,1,NEOLITHIC,-2700,-2200,West Oxfordshire
123232,,,,,,,7.27,1,NEOLITHIC,-2500,-2100,Babergh
21488,,,,,,,,1,BRONZE AGE,-2500,-1500,St. Edmundsbury
45277,Barb and Tanged Arrowhead,,,,,,,1,BRONZE AGE,-2500,-1400,Warwick
103068,,,,,,,,1,NEOLITHIC,-2500,-1500,Forest Heath
103070,,,,,,,,2,NEOLITHIC,-2500,-1500,Forest Heath
103074,,,,,,,,1,NEOLITHIC,-2500,-1500,Forest Heath
103075,,,,,,,,1,NEOLITHIC,-2500,-1500,Forest Heath
105453,,,,,,,,1,NEOLITHIC,-2500,-1500,West Oxfordshire
110768,,,,,,,,1,NEOLITHIC,-2500,-1500,North Norfolk
262512,,,,,,,2.97,2,BRONZE AGE,-2500,-1150,Horsham
237734,,,,,,,,1,NEOLITHIC,-2500,-2100,Breckland
203298,,,,,,,,1,NEOLITHIC,-2500,-2100,St. Edmundsbury
211338,,,,,,,,1,BRONZE AGE,-2500,-1400,Forest Heath
509215,,,,,,,,1,NEOLITHIC,-2500,-1500,West Oxfordshire
476254,Barbed and tanged,,,,,,,1,NEOLITHIC,-2500,-1500,South Kesteven
121568,,,,,,,,1,NEOLITHIC,-2300,-1700,South Norfolk
148494,,,,,,,,1,NEOLITHIC,-2300,-1700,Breckland
123387,,,,,,,,1,BRONZE AGE,-2150,-1500,Suffolk Coastal
95752,Barbed and tanged arrowhead,,,,,,,1,BRONZE AGE,-2150,-1500,King's Lynn and West Norfolk
110762,,,,,,,,1,BRONZE AGE,-2150,-1500,North Norfolk
110767,,,,,,,,1,BRONZE AGE,-2150,-1500,North Norfolk
67958,,,,,,,,1,BRONZE AGE,-2150,-1500,Mid Suffolk
742218,,,,,,,,3,MEDIEVAL,1200,1450,West Berkshire
181288,Leaf-shaped,,,,,,,1,NEOLITHIC,4000,2500,Cheshire West and Chester
86561,,,,,,,,3,NEOLITHIC,,,Forest of Dean
86563,,,,,,,,2,NEOLITHIC,,,Forest of Dean
87577,,,,,,,,16,NEOLITHIC,,,Forest of Dean
87617,,,,,,,,1,NEOLITHIC,,,Hinckley and Bosworth
27613,,,,,,,,1,NEOLITHIC,,,
77861,,,,,,,,1,BRONZE AGE,,,Warrington
203301,,,,,,,,1,MODERN,,,Suffolk Coastal
153289,,,,,,,,1,NEOLITHIC,,,East Lindsey
153361,,,,,,,,1,MEDIEVAL,,,East Lindsey
573442,,,,,,,,1,NEOLITHIC,,,Breckland
507898,,,,,,,,3,NEOLITHIC,,,West Oxfordshire
507901,,,,,,,,6,NEOLITHIC,,,West Oxfordshire
507903,,,,,,,,7,NEOLITHIC,,,West Oxfordshire
507979,,,,,,,,8,NEOLITHIC,,,West Oxfordshire
753613,,,,,,,,1,NEOLITHIC,,,Conwy
